id,a,b,c,d,e,f,l,target,sex_Man,region_a,region_b,region_c,region_d,region_e,region_f,job_title_Enterpreneur,job_title_Head/Deputy head (division),job_title_Head/Deputy head (organiz.),job_title_NE employee,education_Higher education (one or more),education_Incomplete higher education,education_Primary or lower secondary education,marriage_Cohabitation,marriage_Divorced/widow,marriage_Married,children_0 Zero,children_1 One,children_2 Two,children_3 Three,property_otherwise,property_property,r_No,employment_status_No couple,employment_status_Pensioner,employment_status_Student,employment_status_Unemployed,t_No,u_No,w_No,x_No,v_Few,v_Yes,"age_q_(26.833, 30.417]","age_q_(30.417, 33.583]","age_q_(33.583, 36.667]","age_q_(36.667, 39.917]","age_q_(39.917, 43.5]","age_q_(43.5, 47.667]","age_q_(47.667, 52.417]","age_q_(52.417, 57.25]","age_q_(57.25, 64.917]",g_3,g_4,g_5,g_6,g_9,g_10,g_11,g_13,g_20,g_24,h_0.01,h_1.1,h_1.17,h_1.235,h_1.32,h_1.99,h_2.49,h_2.5,h_2.99,h_3.0,h_3.49,h_3.5
1,0.1987777777777777,0.0993888888888888,0.0,799.9,1.7775555555555556,0.8887777777777778,132,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.043,0.0212637362637362,49.97,173.03,0.3845111111111111,0.1901428571428571,6,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0.0670727272727272,0.0670727272727272,0.0,329.9,0.5998181818181818,0.5998181818181818,71,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0.0527,0.0527,0.0,235.65,0.4713,0.4713,48,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,0.14188,0.14188,0.0,634.45,1.2689,1.2689,48,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,0.0546571428571428,0.0255066666666666,0.0,171.1,0.4888571428571428,0.2281333333333333,44,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,0.1171142857142857,0.0512375,40.7,366.6,1.0474285714285716,0.45825,38,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,0.0882307692307692,0.0882307692307692,57.05,512.85,0.789,0.789,24,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0.0792424242424242,0.0792424242424242,26.03,233.87,0.7086969696969697,0.7086969696969697,421,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0.0802962962962963,0.0492727272727272,0.0,223.9,0.8292592592592593,0.5088636363636364,18,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
