|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
|    | id  | a                  | b                  | c      | d       | e                  | f                  | g  | h    | age                | l   | target | sex_Man | region_a | region_b | region_c | region_d | region_e | region_f | job_title_Enterpreneur | job_title_Head/Deputy head (division) | job_title_Head/Deputy head (organiz.) | job_title_NE employee | education_Higher education (one or more) | education_Incomplete higher education | education_Primary or lower secondary education | marriage_Cohabitation | marriage_Divorced/widow | marriage_Married | children_0 Zero | children_1 One | children_2 Two | children_3 Three | property_otherwise | property_property | r_No | employment_status_No couple | employment_status_Pensioner | employment_status_Student | employment_status_Unemployed | t_No | u_No | w_No | x_No | v_Few | v_Yes |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
|  0 |   1 | 0.1987777777777777 | 0.0993888888888888 |    0.0 |   799.9 | 1.7775555555555556 | 0.8887777777777778 | 13 | 3.49 |              33.75 | 132 |      0 |     0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            1.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
|  1 |   2 |              0.043 | 0.0212637362637362 |  49.97 |  173.03 | 0.3845111111111111 | 0.1901428571428571 | 13 | 3.49 |              33.25 |   6 |      0 |     0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     0.0 |              1.0 |             0.0 |            0.0 |            1.0 |              0.0 |                1.0 |               0.0 |  1.0 |                         0.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   0.0 |   1.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
|  2 |   3 | 0.0670727272727272 | 0.0670727272727272 |    0.0 |   329.9 | 0.5998181818181818 | 0.5998181818181818 | 13 | 3.49 | 38.583333333333336 |  71 |      0 |     0.0 |      0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   1.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             0.0 |            1.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  1.0 |  0.0 |  0.0 |  1.0 |   0.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
|  3 |   4 |             0.0527 |             0.0527 |    0.0 |  235.65 |             0.4713 |             0.4713 | 13 | 3.49 |              61.25 |  48 |      0 |     0.0 |      0.0 |      1.0 |      0.0 |      0.0 |      0.0 |      0.0 |                    0.0 |                                   0.0 |                                   0.0 |                   0.0 |                                      0.0 |                                   0.0 |                                            0.0 |                   0.0 |                     1.0 |              0.0 |             1.0 |            0.0 |            0.0 |              0.0 |                0.0 |               1.0 |  1.0 |                         1.0 |                         0.0 |                       0.0 |                          0.0 |  0.0 |  0.0 |  0.0 |  1.0 |   1.0 |   0.0 |
|----|-----|--------------------|--------------------|--------|---------|--------------------|--------------------|----|------|--------------------|-----|--------|---------|----------|----------|----------|----------|----------|----------|------------------------|---------------------------------------|---------------------------------------|-----------------------|------------------------------------------|---------------------------------------|------------------------------------------------|-----------------------|-------------------------|------------------|-----------------|----------------|----------------|------------------|--------------------|-------------------|------|-----------------------------|-----------------------------|---------------------------|------------------------------|------|------|------|------|-------|-------|
