iter	Passed	Remaining
0	11	8979
1	21	8682
2	32	8737
3	43	8734
4	54	8711
5	65	8618
6	75	8524
7	85	8499
8	95	8413
9	105	8348
10	115	8258
11	125	8242
12	135	8191
13	144	8124
14	154	8060
15	163	8006
16	173	7972
17	181	7905
18	191	7880
19	201	7853
20	210	7823
21	220	7793
22	230	7782
23	240	7780
24	250	7766
25	260	7747
26	270	7737
27	280	7728
28	289	7708
29	299	7690
30	309	7681
31	320	7680
32	329	7657
33	339	7648
34	349	7640
35	359	7634
36	369	7622
37	379	7600
38	389	7604
39	400	7603
40	410	7592
41	420	7585
42	430	7572
43	440	7560
44	449	7549
45	459	7536
46	469	7525
47	479	7516
48	489	7508
49	500	7501
50	510	7499
51	521	7496
52	531	7487
53	541	7477
54	551	7468
55	561	7464
56	571	7452
57	582	7447
58	592	7437
59	602	7425
60	611	7411
61	621	7399
62	630	7380
63	640	7363
64	649	7340
65	658	7323
66	667	7304
67	677	7291
68	688	7289
69	697	7278
70	707	7265
71	717	7256
72	728	7250
73	738	7244
74	748	7231
75	757	7217
76	767	7204
77	776	7190
78	786	7176
79	795	7159
80	804	7143
81	814	7128
82	823	7115
83	832	7099
84	842	7085
85	852	7073
86	861	7061
87	871	7051
88	881	7041
89	890	7028
90	900	7014
91	909	7000
92	919	6987
93	928	6972
94	937	6960
95	947	6945
96	956	6931
97	965	6916
98	975	6905
99	984	6888
100	994	6881
101	1003	6868
102	1013	6861
103	1024	6853
104	1033	6843
105	1043	6833
106	1053	6820
107	1062	6808
108	1072	6796
109	1082	6787
110	1091	6777
111	1101	6765
112	1111	6755
113	1120	6745
114	1130	6734
115	1140	6723
116	1149	6709
117	1158	6696
118	1167	6683
119	1178	6676
120	1188	6668
121	1198	6659
122	1207	6647
123	1217	6640
124	1227	6630
125	1238	6622
126	1248	6614
127	1258	6604
128	1268	6597
129	1278	6588
130	1288	6577
131	1298	6568
132	1307	6559
133	1318	6552
134	1327	6541
135	1337	6531
136	1347	6519
137	1357	6510
138	1367	6502
139	1376	6491
140	1386	6478
141	1395	6467
142	1405	6455
143	1414	6445
144	1424	6435
145	1434	6427
146	1446	6426
147	1457	6422
148	1468	6417
149	1479	6410
150	1489	6403
151	1500	6398
152	1512	6396
153	1524	6393
154	1535	6388
155	1546	6383
156	1555	6372
157	1565	6361
158	1575	6350
159	1584	6337
160	1594	6327
161	1604	6317
162	1613	6306
163	1623	6296
164	1633	6284
165	1642	6274
166	1654	6270
167	1664	6259
168	1673	6247
169	1682	6235
170	1692	6224
171	1702	6214
172	1711	6201
173	1719	6187
174	1728	6174
175	1738	6163
176	1747	6150
177	1756	6138
178	1765	6125
179	1775	6114
180	1784	6102
181	1793	6091
182	1803	6080
183	1813	6072
184	1822	6060
185	1832	6047
186	1841	6036
187	1851	6025
188	1860	6015
189	1869	6002
190	1878	5990
191	1888	5978
192	1897	5967
193	1906	5955
194	1915	5944
195	1925	5933
196	1934	5922
197	1944	5910
198	1953	5901
199	1963	5889
200	1972	5878
201	1981	5867
202	1991	5856
203	2000	5845
204	2010	5835
205	2021	5827
206	2031	5818
207	2041	5810
208	2051	5799
209	2060	5789
210	2070	5780
211	2080	5769
212	2089	5759
213	2099	5749
214	2109	5739
215	2118	5729
216	2129	5720
217	2138	5709
218	2148	5699
219	2157	5688
220	2167	5678
221	2176	5666
222	2186	5656
223	2195	5645
224	2205	5635
225	2214	5624
226	2224	5614
227	2233	5603
228	2243	5594
229	2253	5583
230	2262	5572
231	2271	5561
232	2280	5549
233	2290	5539
234	2299	5529
235	2308	5518
236	2318	5506
237	2327	5495
238	2336	5485
239	2346	5475
240	2355	5464
241	2365	5453
242	2374	5443
243	2384	5432
244	2393	5422
245	2402	5411
246	2411	5399
247	2421	5389
248	2431	5380
249	2440	5368
250	2450	5359
251	2459	5348
